,Document Title,Publication Year,Publication Title,Authors,Volume,Issue,Start Page,End Page,Abstract,DOI,PDF Link,Author Keywords,IEEE Terms,Article Citation Count,Reference Count,Document Identifier,,,,,,,,,,,,,,,,,,,,,,,,,
EC3,Deep-NFVOrch: leveraging deep reinforcement learning to achieve adaptive vNF service chaining in DCI-EONs,2020,IEEE/OSA Journal of Optical Communications and Networking,B. Li; W. Lu; Z. Zhu,12,1,A18,A27,"Due to the rise of cloud computing, how to realize adaptive and cost-effective virtual network function service chaining (vNF-SC) in a datacenter interconnection based on an elastic optical network (DCI-EON) has become an interesting but challenging problem. In this work, we tackle this problem by optimizing the design of a deep reinforcement learning (DRL)-based adaptive service framework, namely, Deep-NFVOrch. Specifically, Deep-NFVOrch works in service cycles and tries to reduce the setup latency of vNF-SC by invoking request prediction and pre-deployment at the beginning of each service cycle. We introduce a DRL-based observer (DRL-Observer) to select the duration of each service cycle adaptively according to the network status. The DRL-Observer is designed based on the advantage actor critic, which can interact with the network environment constantly through its deep neural network and learn how to make wise decisions based on the environment's feedback. Our simulation results demonstrate that the DRL-Observer converges fast in online training with the help of a few asynchronous training threads, and the Deep-NFVOrch with it achieves better performance than several benchmarks, in terms of balancing the tradeoffs among overall resource utilization, vNF-SC request-blocking probability, and the number of network reconfigurations in a DCI-EON.",10.1364/JOCN.12.000A18,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8854564,,Training;Optical fiber networks;Resource management;Reinforcement learning;Adaptive systems;Neural networks,,,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,Backup Resource Allocation Model for Virtual Networks with Probabilistic Protection against Multiple Facility Node Failures,2019,2019 15th International Conference on the Design of Reliable Communication Networks (DRCN),F. He; T. Sato; E. Oki,,,37,42,"This paper proposes a backup resource allocation model for virtual networks with providing a probabilistic protection against multiple facility node failures by jointly considering backup computing and bandwidth resource allocation. Previous work only considers the backup computing resource allocation for virtual nodes regardless of the constraints from network aspects. In this paper, we firstly analyze the types of backup paths required for each virtual link in cases of multiple facility node failures. We describe the substrate link capacity constraints and flow constraints for backup paths, which show the interactions between backup computing and bandwidth resource allocation. In the proposed model, the routings of backup paths are determined when the backup computing resource allocation is determined. By adopting robust optimization with several extensive mathematical operations, we formulate the proposed model as a mixed integer linear programming problem to minimize the total required backup computing capacity. Finally, we show the optimal backup resource allocations for an example cloud provider with and without considering the constraints from network aspects, respectively.",10.1109/DRCN.2019.8713736,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8713736,Backup resource allocation;virtual network;probabilistic protection;survivability,Substrates;Resource management;Bandwidth;Cloud computing;Probabilistic logic;Computational modeling;Mathematical model,,15,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,Efficient Orchestration Mechanisms for Congestion Mitigation in NFV: Models and Algorithms,2017,IEEE Transactions on Services Computing,J. Elias; F. Martignon; S. Paris; J. Wang,10,4,534,546,"Network Functions Virtualization (NFV) has recently gained momentum among network operators as a means to share their physical infrastructure among virtual operators, which can independently compose and configure their communication services. However, the spatio-temporal correlation of traffic demands and computational loads can result in high congestion and low network performance for virtual operators, thus leading to service level agreement breaches. In this paper, we analyze the congestion resulting from the sharing of the physical infrastructure and propose innovative orchestration mechanisms based on both centralized and distributed approaches, aimed at unleashing the potential of the NFV technology. In particular, we first formulate the network functions composition problem as a non-linear optimization model to accurately capture the congestion of physical resources. To further simplify the network management, we also propose a dynamic pricing strategy of network resources, proving that the resulting system achieves a stable equilibrium in a completely distributed fashion, even when all virtual operators independently select their best network configuration. Numerical results show that the proposed approaches consistently reduce resource congestion. Furthermore, the distributed solution well approaches the performance that can be achieved using a centralized network orchestration system.",10.1109/TSC.2015.2498176,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7321053,Network functions virtualization;game theory;distributed congestion control;non-linear optimization,Virtualization;Computational modeling;Pricing;Bandwidth;Optimization;Dynamic scheduling;Quality of service,9,32,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,A Framework of Network Connectivity Management in Multi-Clouds Infrastructure,2019,IEEE Wireless Communications,A. Al-Dulaimi; S. Mumtaz; S. Al-Rubaye; S. Zhang; C. I,26,3,104,110,"The NFV transformation is gaining incredible momentum from mobile operators as one of the significant solutions to improve resource allocation and system scalability in 5G networks. However, the ultra-dense deployments in 5G create high volumes of traffic that pushes the physical and virtual resources of cloud-based networks to edge limits. Consider a distributed cloud, replacing the core network with virtual entities in the form of VNFs still requires efficient integration with various underlying hardware technologies. Therefore, orchestrating the distribution of load between cloud geo-data centers starts by instantiating virtual and physical network topologies that connect involved fronthaul with relevant VNFs. In this article, we provide a framework to manage calls within 5G network clusters for efficient utilization of computational resources and also to prevent unnecessary signaling. We also propose a new scheme to instantiate virtual tunnels for call forwarding between network clusters leading to new logic networks that combine geo-data centers and fronthaul. To facilitate service chaining in cloud, we propose a new enhanced network functions virtualization management and orchestration (E-MANO) that extends telemetry services to the radio access network for instant monitoring of available radio resources. We provide analysis and testbed results in support of our proposals.",10.1109/MWC.2019.1800166,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8648451,,Cloud computing;Wireless fidelity;Long Term Evolution;Hardware;Switches;5G mobile communication;Radio access networks,1,15,IEEE Magazines,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Need for a transport aPI in 5G for global orchestration of cloud and networks through a virtualized infrastructure manager and planner [invited],2017,IEEE/OSA Journal of Optical Communications and Networking,A. Mayoral; R. Munoz; R. Vilalta; R. Casellas; R. Martinez; V. Lopez,9,1,A55,A62,"The new 5G paradigm seeks for a scalable architecture that is able to efficiently manage the increasing volume of traffic generated by smart devices to be processed in a distributed cloud infrastructure. To this end, coordinated management of the network and the cloud resources forming an end-to-end system is of great importance. Software defined networking and network function virtualization architectures are the key enablers for integrating network and cloud resources, enabling cross optimization on both sides. This optimization requires efficient resource allocation algorithms, which take into account computing and network resources. In this paper, we propose an end-to-end orchestration architecture for distributed cloud and network resources aligned with the European Telecommunications Standards Institute management and orchestration architecture. The proposed architecture includes the virtual infrastructure manager and planner (VIMaP) component to enable dynamic resource allocation for interconnected virtual instances in distributed cloud locations. A heuristic algorithm for dynamic virtual machine graphs resource allocation is included to validate the VIMaP architecture and exploit its functionalities. Moreover, the control orchestration protocol is included between the architecture components to offer end-to-end transport services. Finally, the proposed architecture is experimentally validated, and the heuristic algorithm performance is evaluated.",10.1364/JOCN.9.000A55,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830262,Cloud computing; Control orchestrationprotocol; Network function virtualization; Orchestration;Resource allocation; Software defined networking (SDN),Cloud computing;Computer architecture;Resource management;5G mobile communication;Protocols;Network topology;Optimized production technology,6,,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Virtual Network Mapping in Cloud Computing: A Graph Pattern Matching Approach,2017,The Computer Journal,Y. Cao; W. Fan; S. Ma,60,3,287,307,"Virtual network mapping (VNM) is to build a network on demand by deploying virtual machines in a substrate network, subject to constraints on capacity, bandwidth and latency. It is critical to data centers for coping with dynamic cloud workloads. This paper shows that VNM can be approached by graph pattern matching, a well-studied database topic. (i) We propose to model a virtual network request as a graph pattern carrying various constraints, and treat a substrate network as a graph in which nodes and edges bear attributes specifying their capacity. (ii) We show that a variety of mapping requirements can be expressed in this model, such as virtual machine placement, network embedding and priority mapping. (iii) In this model, we formulate VNM and its optimization problem with a mapping cost function. We establish complexity bounds of these problems for various mapping constraints, ranging from polynomial time to NP-complete. For intractable problems, we show that their optimization problems are approximation-hard, i.e. NPO-complete in general and APX-hard even for special cases. (iv) We also develop heuristic algorithms for priority mapping, an intractable problem. (v) We experimentally verify that our algorithms are efficient and are able to find high-quality mappings, using real-life and synthetic data.",10.1093/comjnl/bxw063,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8187841,graph pattern matching;cloud computing;virtual network mapping,,,,OUP Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Fine-grained resource-aware virtual network function management for 5G carrier cloud,2016,IEEE Network,F. Z. Yousaf; T. Taleb,30,2,110,115,"This article proposes an approach that enables a cloud infrastructure MANO entity, in a virtualized infrastructure (e.g., a data center) that hosts virtualized networks and services, to derive the affinity scores for the plurality of resource units with reference to a specific resource unit for each individual virtual machine instance. This affinity score, referred to as the reference resource affinity score, will enable a MANO entity to perform precise and efficient resource tailoring or dimensioning, and hence will optimize its decisions and actions related to the operations and management of the virtualized systems inside the cloud infrastructure. The proposed approach is particularly of vital importance for the management of virtual network functions that are chained to create network services as part of the carrier cloud concept, an important vision of the future 5G architecture.",10.1109/MNET.2016.7437032,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7437032,,Resource management;Cloud computing;5G mobile communication;Monitoring;Mobile computing;Virtual LAN,41,15,IEEE Magazines,,,,,,,,,,,,,,,,,,,,,,,,,
EC6,Performance-assured network function virtualization for open and disaggregated optical transport systems,2017,2017 Optical Fiber Communications Conference and Exhibition (OFC),R. Takano; T. Hirofuchi; H. Takahashi; N. Sakaida; K. Shimano; K. Ishii; S. Suda; S. Namiki; T. Kudoh,,,1,2,A performance-assured Network Function Virtualization (NFV) method for software-based packet processing on an open and disaggregated optical transport systems will be demonstrated. Our technique improves NFV operations by leveraging cache memory allocation and monitoring.,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7937280,,Optical fibers;Optical fiber networks;Optical switches;Servers;Cache memory;Optical buffering,,5,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC3,RAS: Reliable auto-scaling of virtual machines in multi-tenant cloud networks,2015,2015 IEEE 4th International Conference on Cloud Networking (CloudNet),S. Ayoubi; Y. Zhang; C. Assi,,,1,6,"This paper addresses the problem of auto-scaling cloud services (tenants) in a failure prone cloud data center network. Auto-scaling enables existing tenants to modify their services or service availability, for example, to meet market demand fluctuations or to prepare for high-traffic events and scheduled load changes. Cloud operators, in response, need to accommodate such requests by provisioning additional resources or reconfiguring current ones. This manuscript shows that such a decision problem, in addition to being combinatorially complex, is not intuitive, highlighting several tradeoffs between disruption times due to service migration and resource redundancy to achieve higher service availability. We present RAS, an availability-aware auto-scaling scheme for managing Virtual Network (VN) scaling requests. RAS provides a robust adaptive approach for managing requests change over time while maintaining their availability requirement. Our numerical results prove that our suggested approach harnesses the benefits of migration and redundancy to achieve an adaptive scaling technique that outperforms migration or redundancy oblivious techniques.",10.1109/CloudNet.2015.7335271,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7335271,,Cloud computing;Substrates;Bandwidth;Redundancy;Virtual machining;Conferences,7,16,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Virtual Network Function Placement in IoT Network,2019,2019 15th International Wireless Communications & Mobile Computing Conference (IWCMC),D. T. Nguyen; C. Pham; K. K. Nguyen; M. Cheriet,,,1166,1171,"This paper investigates an efficient placing mechanism for placing Virtual Network Function (VNF) on the cloud networks to enable the construction of Internet of Things (IoT) service chains with minimal resource usage cost. In particular, we propose a model taking IoT network infrastructure into account. Such the network composed of numerous sensors with constrained resource, dynamic connectivity toward multi-homing IoT gateways makes the problem of optimally placing VNFs with expected Quality of Service (QoS) more challenging and has not been considered in prior works. From the model, we formulate a non-convex Integer Programming (IP) placement problem and devise a batching Markov approximation placement (BMAP) algorithm to find the optimal solution. Simulation results show that the proposed approach improves the cost compared to those that do not consider the IoT network.",10.1109/IWCMC.2019.8766491,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8766491,,Internet of Things;Logic gates;Sensors;Cloud computing;Delays;Markov processes;Bandwidth,,11,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,On-Demand Network Slicing using SDN/NFV-enabled Satellite Ground Segment Systems,2018,2018 4th IEEE Conference on Network Softwarization and Workshops (NetSoft),T. Ahmed; A. Alleg; R. Ferrus; R. Riggio,,,242,246,"This paper proposes an architecture framework for the realization of on-demand satellite network slicing that is built on the introduction of Software Defined Networking (SDN) and Network Function Virtualization (NFV) technologies. In this way, service delivery with satellite networks is shifted from a network for connectivity model to a network for service model with a high degree of service customization and adaptability, including satellite bandwidth on-demand. Under this framework, we study the resource orchestration of satellite network services by formulating the on-demand network slicing as an optimization problem that provides flexible service chaining and provisioning taking into account diversified service requirements. The objective is to determine the optimal resource allocation for supporting a satellite network slice that minimizes resources consumption while meeting service specification requirements such as the end-to-end delay.",10.1109/NETSOFT.2018.8460139,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460139,Network slicing;service chaining;Software Defined Networking (SDN);Network Function Virtualization (NFV),5G mobile communication;Conferences,,13,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC1,Optimal Virtual Network Embedding: Node-Link Formulation,2013,IEEE Transactions on Network and Service Management,M. Melo; S. Sargento; U. Killat; A. Timm-Giel; J. Carapinha,10,4,356,368,"Network Virtualization is claimed to be a key component of the Future Internet, providing the dynamic support of different networks with different paradigms and mechanisms in the same physical infrastructure. A major challenge in the dynamic provision of virtual networks is the efficient embedding of virtual resources into physical ones. Since this problem is known to be NP-hard, previous research focused on designing heuristic-based algorithms; most of them either do not consider a simultaneous embedding of virtual nodes and virtual links, or apply link-path formulation, leading to non-optimal solutions. This paper proposes an integer linear programming (ILP) formulation to solve the online virtual network embedding problem as a result of an objective function striving for the minimization of resource consumption and load balancing. To this end 3 different objective functions are proposed and evaluated. This approach applies multi-commodity flow constraint to accomplish a node-link formulation that optimizes the allocation of physical network resources. This proposal is evaluated against state of the art heuristics. The performance of the heuristics related to Virtual Network (VN) request acceptance ratio is, at least, 30% below the one of the Virtual Network Embedding Node-Link Formulation (VNE-NLF) method. From the three cost functions evaluated, the Weighted Shortest Distance Path (WSDP) is the one which embeds more VNs and also requires, on average, less physical resources per embedding.",10.1109/TNSM.2013.092813.130397,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6616685,Virtual networks;embedding;mapping;NP-hard;optimization;ILP model;heuristics,Virtual networks;Delays;Linear programming;Optimization;Mathematical model;Load management,43,27,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Conformal Mapping for Optimal Network Slice Planning Based on Canonical Domains,2018,IEEE Journal on Selected Areas in Communications,A. Laghrissi; T. Taleb; M. Bagaa,36,3,519,528,"The evolution towards 5G consists of managing highly dynamic networks and making decisions related to the provisioning of networks in an as-a-service and cost-aware fashion. This is translated by 5G verticals that are dedicated to specific services, applications, or use cases fulfilling the constant demand of vertical industries. In this vein, to achieve the high-level goals defined by operators and service providers, and to answer to the elasticity and low-latency specifications of the upcoming 5G mobile system, the optimal placement of virtual network functions must cope with the non-uniform service demands and the irregular nature of network topologies. This paper addresses this issue by mapping the non-uniform distribution of signaling messages in the physical domain to a new uniform environment (i.e., canonical domain) whereby the placement of core functions is more feasible and efficient by means of Schwartz-Christoffel conformal mappings. The experimentation results, compared to some baseline approaches, have proven the efficiency of the conformal mapping based placement in allocating the virtual resources (i.e., virtual CPU and virtual storage) with regard to the optimal end-to-end delay, cost and activated virtual machines. Another interesting contribution is that all placement decisions are based on a realistic spatio-temporal user-centric model, which defines both the mobility of user equipments and the underlying service usage.",10.1109/JSAC.2018.2815436,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8314674,NFV;cloud;network slice;5G;mobile network;conformal mapping;VNF placement,Cloud computing;Conformal mapping;5G mobile communication;Quality of experience;Computer architecture;Quality of service;Planning,22,33,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Towards Bandwidth Guarantee for Virtual Clusters Under Demand Uncertainty in Multi-Tenant Clouds,2018,IEEE Transactions on Parallel and Distributed Systems,L. Yu; H. Shen; Z. Cai; L. Liu; C. Pu,29,2,450,465,"In the cloud, multiple tenants share the resource of datacenters and their applications compete with each other for scarce network bandwidth. Current studies have shown that the lack of bandwidth guarantee causes unpredictable network performance, leading to poor application performance. To address this issue, several virtual network abstractions have been proposed which allow the tenants to reserve virtual clusters with specified bandwidth between the Virtual Machines (VMs) in the datacenters. However, all these existing proposals require the tenants to deterministically characterize the bandwidth demands in the abstractions, which can be difficult and result in inefficient bandwidth reservation due to the demand uncertainty. In this paper, we explore a virtual cluster abstraction with stochastic bandwidth characterization to address the bandwidth demand uncertainty. We propose Stochastic Virtual Cluster (SVC), which models the bandwidth demand between VMs in a probabilistic way. Based on SVC, we develop a stochastic framework for virtual cluster allocation, in which the admitted virtual cluster's bandwidth demands are satisfied with a high probability. Efficient VM allocation algorithms are proposed to implement the framework while reducing the possibility of link congestion through minimizing the maximum bandwidth occupancy of a virtual cluster on physical links. Using simulations, we show that SVC achieves the trade-off between the job concurrency and the average job running time, and demonstrate its effectiveness for accommodating cloud application workloads with highly volatile bandwidth demands and its improvement to work-conserving bandwidth enforcement.",10.1109/TPDS.2017.2754366,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8046038,Cloud computing;bandwidth guarantee;network abstraction;virtual network;virtual machine placement,Bandwidth;Cloud computing;Resource management;Static VAr compensators;Stochastic processes;Uncertainty;Clustering algorithms,4,25,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Survivable and bandwidth-guaranteed embedding of virtual clusters in cloud data centers,2017,IEEE INFOCOM 2017 - IEEE Conference on Computer Communications,R. Yu; G. Xue; X. Zhang; D. Li,,,1,9,"Cloud computing has emerged as a powerful and elastic platform for internet service hosting, yet it also draws concerns of the unpredictable performance of cloud-based services due to network congestion. To offer predictable performance, the virtual cluster abstraction of cloud services has been proposed, which enables allocation and performance isolation regarding both computing resources and network bandwidth in a simplified virtual network model. One issue arisen in virtual cluster allocation is the survivability of tenant services against physical failures. Existing works have studied virtual cluster backup provisioning with fixed primary embeddings, but have not considered the impact of primary embeddings on backup resource consumption. To address this issue, in this paper we study how to embed virtual clusters survivably in the cloud data center, by jointly optimizing primary and backup embeddings of the virtual clusters. We formally define the survivable virtual cluster embedding problem. We then propose a novel algorithm, which computes the most resource-efficient embedding given a tenant request. Since the optimal algorithm has high time complexity, we further propose a faster heuristic algorithm, which is several orders faster than the optimal solution, yet able to achieve similar performance. Besides theoretical analysis, we evaluate our algorithms via extensive simulations.",10.1109/INFOCOM.2017.8056945,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8056945,Virtual cluster;survivability;bandwidth guarantee,Bandwidth;Cloud computing;Algorithm design and analysis;Heuristic algorithms;Clustering algorithms;Resource management,9,30,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC1,Dynamic deployment of virtual GMPLS-controlled elastic optical networks using a Virtual Network Resource Broker on the ADRENALINE testbed,2013,2013 15th International Conference on Transparent Optical Networks (ICTON),R. Vilalta; R. Muñoz; R. Casellas; R. Martínez,,,1,4,"We present a Virtual Optical Network Resource Broker (VON RB) for elastic optical networks. The VON RB is responsible for managing the virtual elastic optical resources, and virtual GMPLS control resources (controllers, IP control channels), and for dynamically deploying virtual GMPLS-controlled elastic optical networks over a shared physical network infrastructure, through a virtual network topology manager (VNTM). We present novel VON resource allocation algorithms, which are deployed in the proposed VON RB and experimentally validated in the ADRENALINE testbed.",10.1109/ICTON.2013.6602843,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6602843,optical network virtualization;elastic optical network;GMPLS;resource broker,Optical fiber networks;Virtualization;Network topology;Resource management;Heuristic algorithms;Dynamic scheduling,1,10,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC2,Wireless virtual network embedding based on spectrum sharing allocation,2016,2016 11th International Conference on Computer Science & Education (ICCSE),X. Liu; M. Li; M. Song; Z. Tian; F. Jianxun,,,670,675,"Wireless network virtualization has gained a lot of interest from academic research and is seen as a promising way to relieve the rigid network problem due to its abstraction and sharing of infrastructure and radio spectrum resources. Some algorithms have been proposed to assign physical resources to virtual networks in an efficient way regardless of the change of user's demand during their entire lifetime. It is a waste to always meet the peak demand of workload especially in consideration of the spectrum crisis. In this paper, we propose a wireless virtual network embedding algorithm based on opportunistic spectrum sharing allocation. Virtual network can implement spectrum sharing enabling increased resource usage and lower rejection rates. The simulation results show that the algorithm we proposed is better than fixed resource allocation VNE in improving accept rates, revenue, resource utilization and lowering the cost of virtual networks.",10.1109/ICCSE.2016.7581660,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7581660,wireless network;spectrum sharing;resource allocation,Substrates;Resource management;Gaussian distribution;Virtualization;Wireless networks;Bandwidth,2,11,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC4,Network Function Virtualization Aware Offline Embedding Problem Using Squatting-Kicking Strategy for Elastic Optical Networks,2018,2018 20th International Conference on Transparent Optical Networks (ICTON),A. El-mekkawi; X. Hesselbach; J. R. Piney,,,1,10,"Network Function Virtualization (NFV) has recently become one of the most attractive technologies in telecommunication industry due to its ability to realize Network Services (NSs) on general-purpose hardware hence replacing traditional middleboxes. Therefore, NSs can be put on the market, maintained and upgraded more easily and timely which creates a great potential for increasing the usage value of network resources. This paper exploits this paradigm addressing the NFV architecture provisioning the huge computational capacity required in the NS to support the resource allocation strategy proposed for elastic optical networks (EONs) based on resources utilization optimization using a proposed and analyzed squatting-Kicking model (SKM) strategy.",10.1109/ICTON.2018.8473869,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473869,virtual network function;SKM;utilization optimization;EONs;resources allocation,Resource management;Bandwidth;Optical fiber networks;Substrates;Multiprotocol label switching;Network function virtualization;Computer architecture,,21,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC5,Practical Performance Degradation Mitigation Solution Using Anomaly Detection for Carrier-Grade Software Networks,2018,2018 IEEE Conference on Standards for Communications and Networking (CSCN),M. Corici; T. S. Buda; R. Shrestha; E. Cau; T. Metin; H. Assem,,,1,6,"One of the critical technologies required for the large scale acceptance of network functions virtualization within carrier-grade communication systems is the maintenance of a predictable performance level for the software network functions. However, due to the specific resource allocation and to the implementation of the software itself, the performance of the network functions tends to degrade in time, thus, reducing the capacity of the system to serve the specific service requirements. This article introduces a practical solution for performance degradation detection and mitigation for telecom oriented software networks. Also. It includes the mechanisms to interact with the software network and a mechanism for abnormal behaviour detection, as basis for the performance degradation automatic decisions. Furthermore, the solution is exemplified as an addition to the current 5G core network architecture and evaluated on a testbed based on the Fraunhofer FOKUS Open5GCore toolkit and IBM DeepAD. The measured results show that such a solution is feasible and should be further investigated to be integrated in the next generation carrier-grade software networks management for enabling an autonomous long duration functioning of the network.",10.1109/CSCN.2018.8581818,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8581818,software networks;anomaly detection;machine learning;carrier grade 5G systems,Software;Monitoring;Anomaly detection;Degradation;Reliability;5G mobile communication;Machine learning,,8,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC1,Proposal of Business Intelligence System by Overlay Cloud Computing Architecture,2013,"2013 Eighth International Conference on P2P, Parallel, Grid, Cloud and Internet Computing",N. Uchida; K. Takahata; Y. Shibata,,,578,581,"In case of cloud computing service for business usages, with the growth of business opportunities such as the increased number of employee or commerce site's access, the efficient resource or QoS management in virtual network layer come to be more important. Also, autonomous network configuration in virtual layer which can provide optimal efficient resource and QoS service is needed. Not only network configuration is constructed in physical layer, but also it is needed to be constructed in virtual layer for future services. In this paper, it is discussed about Overlay Cloud Computing Architecture which is consisted of virtual autonomous network configuration in cloud computing service including various server and network services for business intelligent system. In our proposal methods, first of all, there are various kinds of autonomous modes such as eco mode, high power mode, and secure mode. Then, virtual network and server configuration is automatically held in virtual layer with the proper mode setting. Besides, with observation values of network and server condition, virtual configuration is changed optimally. In this optimal configuration changing, Kalman filter is used for the calculation of network and server condition. Then, the prototype of the proposed methods is reported, and the future study is discussed in the paper.",10.1109/3PGCIC.2013.100,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6681294,Cloud Computing;Virtualization;Business Inteligence;QoS,Cloud computing;Servers;Kalman filters;Business;Equations;Mathematical model,2,10,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC1,The bottlenecked virtual network problem in bandwidth allocation for network virtualization,2009,2009 IEEE Latin-American Conference on Communications,J. F. Botero; X. Hesselbach,,,1,5,"Internet is becoming unable to overcome the challenges required by new services due to the lack of coordination among Internet service providers. This situation, frequently called network ossification, makes increasingly hard the deployment and the testing new network technologies. Network virtualization has emerged as one solution of this problem. One network (substrate network), composed of physical nodes (e.g. routers) interconnected by means of links, may be used to create several isolated virtual networks, formed by virtual nodes and links, sharing the physical resources of the substrate network. One of the known problems of network virtualization is the allocation of physical resources. An uncontrolled allocation of bandwidth might entail bottlenecked virtual networks. The main goal of this paper is to analyze the problem of bandwidth allocation among virtual networks and to show mechanisms to offer a fair bandwidth distribution.",10.1109/LATINCOM.2009.5305042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5305042,,Channel allocation;Bandwidth;Web and internet services;Testing;Telematics;Isolation technology;Resource management;Resource virtualization;Protocols;Routing,9,12,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,
EC5,Orchestrating QoS-based connectivity services in a multi-operator sandbox,2019,IEEE/OSA Journal of Optical Communications and Networking,A. Sgambelluri; O. Dugeon; A. Muhammad; J. Martín-Pérez; F. Ubaldi; K. Sevilla; O. G. De Dios; T. Pepe; C. J. Bernardos; P. Monti; F. Paolucci,11,2,A196,A208,"One of the main features of 5G networks is the coordinated orchestration of both information technology (IT) and connectivity resources. This enables the deployment of a flexible and programmable architecture able to provision end-to-end services with different (and sometimes quite) stringent quality of service (QoS) constraints. In this paradigm, service orchestration may take place over single or multiple administrative domains. The 5G Exchange (5GEx) project, building on the software-defined network and the network function virtualization (NFV) concepts, targets the design and the implementation of a multi-domain orchestrator (MdO) prototype for the automatic provisioning of network service across multiple administrative domains. This paper presents an architectural solution, designed and implemented in the context of the 5GEx MdO prototype, that can be used to establish end-to-end connectivity tunnels with QoS constraints (i.e., bandwidth and/or end-to-end delay) connecting virtualized network functions deployed in remote data centers controlled by different providers by means of an innovative stateful backward recursive path-computation-element-based computation procedure. The proposed solution has been experimentally validated in terms of scalability, reliability, and end-to-end workflow proof-of-concept. Results show how the designed solution permits the automatic establishment of QoS-based end-to-end tunnels spanning across multi-technology and multi-operator network domains. The orchestration scheme does not present scalability issues for either the advertisement of resources or for the provisioning of connectivity services. Moreover, no issues have been identified from the reliability point of view.",10.1364/JOCN.11.00A196,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8657338,5GEx project;Backward recursive PCE-based computation (BRPC);Multi-domain orchestration;Network function virtualization;QoS-based connectivity services;Software defined network;Value added services,Quality of service;Computer architecture;Topology;Network function virtualization;5G mobile communication;Scalability;Reliability,,,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,
